Kingdom,18S sample,18S Count
Archaea,CN18FESPkoa_SC24,0
Archaea,CN18FESPkoa_SC26,0
Archaea,CN18FESPkoa_SC29,0
Archaea,CN18FESPkoa_SC30,0
Archaea,CN18FESPkoa_SC31,0
Archaea,CN18FESPkoa_SC32,0
Archaea,CN18FESPkoa_SC34,0
Archaea,CN18FESPkoa_SC35,0
Archaea,CN18FESPkoa_SC37,0
Archaea,CN18FESPkoa_SC40,0
Archaea,CN18FESPkoa_SC41,0
Archaea,CN18FESPkoa_SC43,0
Archaea,CN18FESPkoa_SC44,0
Archaea,CN18FESPkoa_SC46,0
Archaea,CN18FESPkoa_SC47,0
Archaea,CN18FESPkoa_SC49,0
Archaea,CN18FESPkoa_SC52,0
Archaea,CN18FESPkoa_SC53,0
Archaea,CN18FESPkoa_SC55,0
Archaea,CN18FESPkoa_SC56,0
Archaea,CN18FESPkoa_SC57,0
Archaea,CN18FESPkoa_SC58,0
Archaea,CN18Fc12_8_eDNA,0
Archaea,CN18Fc19_5_eDNA,0
Archaea,CN18Fc21_6_eDNA,0
Archaea,CN18Fc22_6_eDNA,0
Archaea,CN18Fc24_6_eDNA,0
Archaea,CN18Fc25_5_eDNA,0
Archaea,CN18Fc27_4_eDNA,0
Archaea,CN18Fc29_6_eDNA,0
Archaea,CN18Fc30_4_eDNA,0
Archaea,CN18Fc32_4_eDNA,0
Archaea,CN18Fc33_5_eDNA,0
Archaea,CN18Fc36_6_eDNA,0
Archaea,CN18Fc38_5_eDNA,0
Archaea,CN18Fc40_6_eDNA,0
Archaea,CN18Fc41_6_eDNA,0
Archaea,CN18Fc43_5_eDNA,0
Archaea,CN18Fc44_8_eDNA,0
Archaea,CN18Fc46_8_eDNA,0
Archaea,CN18Fc47_6_eDNA,0
Archaea,CN18Fc49_6_eDNA,0
Archaea,CN18Fc51_5_eDNA,0
Archaea,CN18SESPkoa_SC36,0
Archaea,CN18SESPkoa_SC37,0
Archaea,CN18SESPkoa_SC39,0
Archaea,CN18SESPkoa_SC40,0
Archaea,CN18SESPkoa_SC41,0
Archaea,CN18SESPkoa_SC44,0
Archaea,CN18SESPkoa_SC45,0
Archaea,CN18SESPkoa_SC47,0
Archaea,CN18SESPkoa_SC49,0
Archaea,CN18Sc09_2_eDNA,1
Archaea,CN18Sc10_2_eDNA,1
Archaea,CN18Sc14_2_eDNA,0
Archaea,CN18Sc14_8_eDNA,0
Archaea,CN18Sc15_2_eDNA,0
Archaea,CN18Sc15_8_eDNA,0
Archaea,CN18Sc18_2_eDNA,0
Archaea,CN18Sc18_8_eDNA,0
Archaea,CN18Sc27_2_eDNA,0
Archaea,CN18Sc27_8_eDNA,0
Bacteria,CN18FESPkoa_SC24,1
Bacteria,CN18FESPkoa_SC26,1
Bacteria,CN18FESPkoa_SC29,2
Bacteria,CN18FESPkoa_SC30,5
Bacteria,CN18FESPkoa_SC31,4
Bacteria,CN18FESPkoa_SC32,7
Bacteria,CN18FESPkoa_SC34,7
Bacteria,CN18FESPkoa_SC35,5
Bacteria,CN18FESPkoa_SC37,6
Bacteria,CN18FESPkoa_SC40,9
Bacteria,CN18FESPkoa_SC41,4
Bacteria,CN18FESPkoa_SC43,8
Bacteria,CN18FESPkoa_SC44,3
Bacteria,CN18FESPkoa_SC46,15
Bacteria,CN18FESPkoa_SC47,5
Bacteria,CN18FESPkoa_SC49,7
Bacteria,CN18FESPkoa_SC52,2
Bacteria,CN18FESPkoa_SC53,20
Bacteria,CN18FESPkoa_SC55,6
Bacteria,CN18FESPkoa_SC56,10
Bacteria,CN18FESPkoa_SC57,9
Bacteria,CN18FESPkoa_SC58,34
Bacteria,CN18Fc12_8_eDNA,8
Bacteria,CN18Fc19_5_eDNA,1
Bacteria,CN18Fc21_6_eDNA,15
Bacteria,CN18Fc22_6_eDNA,61
Bacteria,CN18Fc24_6_eDNA,4
Bacteria,CN18Fc25_5_eDNA,14
Bacteria,CN18Fc27_4_eDNA,7
Bacteria,CN18Fc29_6_eDNA,3
Bacteria,CN18Fc30_4_eDNA,9
Bacteria,CN18Fc32_4_eDNA,0
Bacteria,CN18Fc33_5_eDNA,6
Bacteria,CN18Fc36_6_eDNA,12
Bacteria,CN18Fc38_5_eDNA,13
Bacteria,CN18Fc40_6_eDNA,7
Bacteria,CN18Fc41_6_eDNA,23
Bacteria,CN18Fc43_5_eDNA,3
Bacteria,CN18Fc44_8_eDNA,3
Bacteria,CN18Fc46_8_eDNA,0
Bacteria,CN18Fc47_6_eDNA,0
Bacteria,CN18Fc49_6_eDNA,0
Bacteria,CN18Fc51_5_eDNA,5
Bacteria,CN18SESPkoa_SC36,1
Bacteria,CN18SESPkoa_SC37,2
Bacteria,CN18SESPkoa_SC39,0
Bacteria,CN18SESPkoa_SC40,5
Bacteria,CN18SESPkoa_SC41,0
Bacteria,CN18SESPkoa_SC44,0
Bacteria,CN18SESPkoa_SC45,6
Bacteria,CN18SESPkoa_SC47,11
Bacteria,CN18SESPkoa_SC49,4
Bacteria,CN18Sc09_2_eDNA,11
Bacteria,CN18Sc10_2_eDNA,6
Bacteria,CN18Sc14_2_eDNA,24
Bacteria,CN18Sc14_8_eDNA,3
Bacteria,CN18Sc15_2_eDNA,4
Bacteria,CN18Sc15_8_eDNA,0
Bacteria,CN18Sc18_2_eDNA,15
Bacteria,CN18Sc18_8_eDNA,0
Bacteria,CN18Sc27_2_eDNA,8
Bacteria,CN18Sc27_8_eDNA,0
Eukaryota,CN18FESPkoa_SC24,94584
Eukaryota,CN18FESPkoa_SC26,45329
Eukaryota,CN18FESPkoa_SC29,89393
Eukaryota,CN18FESPkoa_SC30,79725
Eukaryota,CN18FESPkoa_SC31,44995
Eukaryota,CN18FESPkoa_SC32,45735
Eukaryota,CN18FESPkoa_SC34,54156
Eukaryota,CN18FESPkoa_SC35,42146
Eukaryota,CN18FESPkoa_SC37,79209
Eukaryota,CN18FESPkoa_SC40,79952
Eukaryota,CN18FESPkoa_SC41,63780
Eukaryota,CN18FESPkoa_SC43,59114
Eukaryota,CN18FESPkoa_SC44,44076
Eukaryota,CN18FESPkoa_SC46,55285
Eukaryota,CN18FESPkoa_SC47,31760
Eukaryota,CN18FESPkoa_SC49,42195
Eukaryota,CN18FESPkoa_SC52,38316
Eukaryota,CN18FESPkoa_SC53,66459
Eukaryota,CN18FESPkoa_SC55,37261
Eukaryota,CN18FESPkoa_SC56,32789
Eukaryota,CN18FESPkoa_SC57,38491
Eukaryota,CN18FESPkoa_SC58,39966
Eukaryota,CN18Fc12_8_eDNA,29830
Eukaryota,CN18Fc19_5_eDNA,48418
Eukaryota,CN18Fc21_6_eDNA,47422
Eukaryota,CN18Fc22_6_eDNA,49122
Eukaryota,CN18Fc24_6_eDNA,64379
Eukaryota,CN18Fc25_5_eDNA,40361
Eukaryota,CN18Fc27_4_eDNA,49192
Eukaryota,CN18Fc29_6_eDNA,53092
Eukaryota,CN18Fc30_4_eDNA,54251
Eukaryota,CN18Fc32_4_eDNA,17887
Eukaryota,CN18Fc33_5_eDNA,42357
Eukaryota,CN18Fc36_6_eDNA,55585
Eukaryota,CN18Fc38_5_eDNA,36247
Eukaryota,CN18Fc40_6_eDNA,61287
Eukaryota,CN18Fc41_6_eDNA,60159
Eukaryota,CN18Fc43_5_eDNA,38797
Eukaryota,CN18Fc44_8_eDNA,31212
Eukaryota,CN18Fc46_8_eDNA,39629
Eukaryota,CN18Fc47_6_eDNA,32185
Eukaryota,CN18Fc49_6_eDNA,43837
Eukaryota,CN18Fc51_5_eDNA,52208
Eukaryota,CN18SESPkoa_SC36,43940
Eukaryota,CN18SESPkoa_SC37,3639
Eukaryota,CN18SESPkoa_SC39,21902
Eukaryota,CN18SESPkoa_SC40,11425
Eukaryota,CN18SESPkoa_SC41,14646
Eukaryota,CN18SESPkoa_SC44,32944
Eukaryota,CN18SESPkoa_SC45,9639
Eukaryota,CN18SESPkoa_SC47,16154
Eukaryota,CN18SESPkoa_SC49,10138
Eukaryota,CN18Sc09_2_eDNA,23096
Eukaryota,CN18Sc10_2_eDNA,16091
Eukaryota,CN18Sc14_2_eDNA,18375
Eukaryota,CN18Sc14_8_eDNA,16267
Eukaryota,CN18Sc15_2_eDNA,15450
Eukaryota,CN18Sc15_8_eDNA,38940
Eukaryota,CN18Sc18_2_eDNA,21256
Eukaryota,CN18Sc18_8_eDNA,6555
Eukaryota,CN18Sc27_2_eDNA,22589
Eukaryota,CN18Sc27_8_eDNA,7854
